H-1(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 37.1363
1.25000E-05 35.3732
1.50000E-05 34.0718
2.00000E-05 32.2450
2.75000E-05 30.5068
3.50000E-05 29.3628
4.25000E-05 28.5370
5.00000E-05 27.9048
6.25000E-05 27.1163
7.50000E-05 26.5343
0.000100000 25.7173
0.000125000 25.1598
0.000150000 24.7482
0.000200000 24.1706
0.000275000 23.6209
0.000350000 23.2591
0.000425000 22.9980
0.000500000 22.7981
0.000625000 22.5487
0.000750000 22.3647
0.00100000 22.1063
0.00125000 21.9300
0.00150000 21.7999
0.00200000 21.6172
0.00275000 21.4434
0.00350000 21.3290
0.00425000 21.2464
0.00500000 21.1832
0.00625000 21.1043
0.00750000 21.0461
0.0100000 20.9644
0.0125000 20.9087
0.0150000 20.8675
0.0200000 20.8098
0.0253000 20.7683
0.0314750 20.7340
0.0376500 20.7085
0.0500000 20.6725
0.0625000 20.6476
0.0750000 20.6292
0.100000 20.6033
0.125000 20.5857
0.150000 20.5727
0.200000 20.5544
0.275000 20.5370
0.350000 20.5256
0.500000 20.5110
0.750000 20.4972
1.00000 20.4890
1.50000 20.4793
2.00000 20.4734
2.75000 20.4678
3.50000 20.4641
5.00000 20.4593
7.50000 20.4546
10.0000 20.4517
15.0000 20.4480
20.0000 20.4455
27.5000 20.4427
35.0000 20.4405
50.0000 20.4371
75.0000 20.4323
100.000 20.4282
150.000 20.4205
200.000 20.4132
275.000 20.4026
350.000 20.3922
500.000 20.3716
750.000 20.3379
1000.00 20.3044
1500.00 20.2382
2000.00 20.1722
3000.00 20.0432
4000.00 19.9143
5000.00 19.7892
6000.00 19.6641
8000.00 19.4210
10000.0 19.1847
15000.0 18.6220
20000.0 18.0960
30000.0 17.1959
40000.0 16.2958
50000.0 15.5816
60000.0 14.8674
80000.0 13.7060
100000 12.7424
150000 10.9235
200000 9.64324
300000 7.95199
400000 6.87645
500000 6.12548
600000 5.56691
700000 5.13204
800000 4.78160
900000 4.49150
1.00000E+06 4.24614
1.20000E+06 3.85049
1.40000E+06 3.54178
1.60000E+06 3.29135
1.80000E+06 3.08222
2.00000E+06 2.90368
2.20000E+06 2.74858
2.40000E+06 2.61196
2.60000E+06 2.49023
2.80000E+06 2.38077
3.00000E+06 2.28156
3.20000E+06 2.19103
3.40000E+06 2.10795
3.60000E+06 2.03134
3.80000E+06 1.96037
4.00000E+06 1.89439
4.20000E+06 1.83282
4.40000E+06 1.77521
4.60000E+06 1.72115
4.80000E+06 1.67030
5.00000E+06 1.62235
5.50000E+06 1.51359
6.00000E+06 1.41819
6.50000E+06 1.33374
7.00000E+06 1.25840
7.50000E+06 1.19073
8.00000E+06 1.12960
8.50000E+06 1.07408
9.00000E+06 1.02345
9.50000E+06 0.977067
1.00000E+07 0.934429
1.05000E+07 0.895100
1.10000E+07 0.858711
1.15000E+07 0.824946
1.20000E+07 0.793535
1.25000E+07 0.764242
1.30000E+07 0.736862
1.35000E+07 0.711215
1.40000E+07 0.687144
1.45000E+07 0.664510
1.50000E+07 0.643188
1.55000E+07 0.623069
1.60000E+07 0.604055
1.65000E+07 0.586058
1.70000E+07 0.568998
1.75000E+07 0.552804
1.80000E+07 0.537412
1.85000E+07 0.522764
1.90000E+07 0.508806
1.95000E+07 0.495490
2.00000E+07 0.482773
